시군구,단지명,전용면적(㎡),거래금액(만),건축연도
부산광역시 사하구 하단동,헤리츠리더스하단,24900.0,49.637,2021.0
부산광역시 사하구 하단동,헤리츠리더스하단,37900.0,69.5064,2021.0
부산광역시 사하구 하단동,헤리츠리더스하단,37900.0,69.5064,2021.0
부산광역시 사하구 하단동,헤리츠리더스하단,28900.0,49.6903,2021.0
부산광역시 사하구 하단동,헤리츠리더스하단,28900.0,49.6903,2021.0
부산광역시 서구 서대신동3가,효정풍경채,20000.0,45.57,2019.0
부산광역시 서구 충무동3가,에코팰리스3,33000.0,77.98,2017.0
부산광역시 수영구 광안동,광안비치올리브씨,37500.0,45.0883,2021.0
부산광역시 수영구 광안동,광안비치올리브씨,35700.0,44.9271,2021.0
부산광역시 수영구 광안동,에이스로얄팰리스,17700.0,27.08,2019.0
부산광역시 수영구 광안동,에이스로얄팰리스,22000.0,33.96,2019.0
부산광역시 수영구 망미동,디아이라뷰,28500.0,49.9,2017.0
부산광역시 연제구 거제동,거제센트럴자이,50000.0,59.9635,2018.0
부산광역시 연제구 연산동,시청역이즈팰리스2차,15500.0,41.9,2017.0
부산광역시 연제구 연산동,엘리시움,22500.0,55.7016,2017.0
부산광역시 연제구 연산동,연산더샵,29300.0,39.9681,2019.0
부산광역시 연제구 연산동,일호센텀누리,12600.0,26.8,2017.0
부산광역시 영도구 대교동1가,어반젠트리,30740.0,47.6025,2022.0
부산광역시 영도구 대교동1가,한우리6차,30800.0,59.645,2019.0
부산광역시 영도구 동삼동,대성베른시티1동,27000.0,79.48,2019.0
부산광역시 영도구 동삼동,롯데캐슬블루오션,46800.0,84.97,2017.0
부산광역시 영도구 동삼동,부산오션시티푸르지오,45308.0,84.9133,2022.0
부산광역시 영도구 동삼동,부산오션시티푸르지오,44500.0,84.9133,2022.0
부산광역시 영도구 동삼동,영도경동리인,22300.0,68.9213,2017.0
부산광역시 영도구 봉래동1가,유원블루파크,22900.0,56.227,2018.0
부산광역시 해운대구 반여동,해운대더샵센텀그린,43000.0,72.9699,2019.0
부산광역시 해운대구 반여동,해운대더샵센텀그린,41000.0,59.9607,2019.0
부산광역시 해운대구 반여동,해운대센텀트루엘1단지,39500.0,74.9884,2019.0
부산광역시 해운대구 반여동,해운대센텀트루엘1단지,38000.0,59.9663,2019.0
부산광역시 해운대구 반여동,해운대센텀트루엘2단지,43000.0,75.2877,2019.0
부산광역시 해운대구 송정동,남평엔시티,17800.0,63.38,2018.0
부산광역시 해운대구 송정동,남평엔시티,25000.0,65.74,2018.0
부산광역시 해운대구 우동,해운대파크에비뉴,30000.0,58.2815,2017.0
